Дата,№ заказа,Наименование,Количество,Доп. Расход чипов,Излишки,Виды брака_Дефект 1,Виды брака_Дефект 2,Виды брака_Дефект 3,Виды брака_Дефект 4,Виды брака_Дефект 5,Виды брака_Дефект 6,Виды брака_Дефект 7,Виды брака_Дефект 8,Виды брака_Дефект 9,Виды брака_Дефект 10,% брака,Принт 1 сторона_Дефект 11,Принт 1 сторона_Дефект 12,Брак без видимых причин,Участок,Номенклатура,Цена,кол-во брака,Общее кол-во брака,Заказ клиента,Стоимость брака
2025-08-01,25УП-008097,gAAAAABpAh5GO7TijLexN5ougibBpZE9L5CbI88XtVbmCWmMm7Z79dJj4LwqRqhRKnaGKqyw43zMrv2v18aho39GjeDqNKbrXTTQy_FLq6FZlPsLHjtb4Vm0aV1U0SCmWqwAUEkARWQAc2lG_tbe4aV733Hkm6wvpMFDDPcks_Ab2rPWE3py8g_tryxojsi9mVKjIZpf1sZF_pdLb3glBRMIDNBjatbhpg==,1099.0,0.0,0.0,0.0,0,0.0,5,2,0,12,1.0,0.0,0,1.82,8,36,0.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,31.0,20.0,0.0,0,620.0
2025-08-01,25УП-007823,gAAAAABpAh5G5dElQLvsGiAtzKZxRA1SOJkYZA7M0vzL4afbaQGvPykVF_7GIQwynEPxk-q4NY3P3uQOghlrXH4lrr4uXH1YzhoKxByot7BobEV1UCkPAI7FWvG_oDf0tSoIRtj-a5snii-loRm-zH_qvQ0YjvextsNt2jM8w8nPvHQCMi1GSTtHrX5EYIjsnniIg0BcAjEU6z7BB1adGI6OcNRG691or14QD0Z0ecPspo9MLCKfcOWBHzeZnFKMuKJ5NErVtgpFHecMNcUov9bD2u-cCzunrVnpLL5eNOOzpFEqioHEAQ33WRRuyoAU_LBFUnzvIokg,50.0,0.0,0.0,0.0,0,1.0,0,0,0,0,0.0,0.0,0,2.0,37,0,0.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,37.0,1.0,0.0,0,37.0
2025-08-01,25УП-008154,gAAAAABpAh5GF5wu5XQKjqyHUYhv697TxKXgO83QGjvqSFibM0QGM_iOuQleXIwzvMT85NRfguQ1rMDHXuhkYuKMhYRy8qyt3pn1sRQZGtCAnkUsjj1o8icQPq1qxxMvJNeDN2PXMoTC75A4fF8HVqSnSIxPvUsYalfFrZ85yv4cY7kx4L8-tLJedY--rPo5XznajWssUvOi8rJpq6X5lZDXNDzpumPNS8ztdm7gDyMHNO8AlHlcb93qtA7aOesLGeSuo7zSFtQ7oBPozDzrlMRLylzf9i_CVbudOEPatizwXr_PVkTChuArazStfmIU0OPjVufo4bUZ,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,Отсутствует информация,0.0,0.0,0.0,0,0.0
2025-08-01,25УП-008024,gAAAAABpAh5GdX7Zab2h8jBynv7jnjCSXbcvUc0v9-jeJ6u0H_x3_3-j8HsCcTkQ_MvJcobfgM-dIw-fGSPVH7DLiz2ohGxfUEWiD17chFZPiQmgIh_EuDncp87STUTUWnWjv37VbaVagyEdaxxLvwfz6nXMLhfxbGNKughuX3FzduZlEdA_PiFlofpKQ7_r09298LD2iyUFvxEv2QzriqEw3hVTPKMlgWF30lKr-gxtdwH6NpiOP3ODkYc1zbsFeAwKR-NErT7ghqG2dgttdmB3c3Cl1VpMq4qtsrz4ix7Z7YDhs-IHRKYADUORZiwSogO8OnL-S55-aqeXwh0INCNnVvaIBFLwDRxIFsH3aqns7-GTVbKqJ6U9rmjy7l7_NDtsc24pbIPH6z--Ay7lhXZXC3-eULp5ng==,322.0,0.0,0.0,0.0,0,0.0,2,0,2,0,1.0,0.0,0,1.55,11,18,0.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,23.0,5.0,0.0,0,115.0
2025-08-01,25УП-004183,gAAAAABpAh5GWirWBYL0ibF9rKiFJbWm6CPcy2OvLRaIuLS4C-tPZA0caYDjL4v9BO3FK9NAMTcCoKmQW4LAynVbZBPY-rHcQPSiPmRDQmz0QGr2vQyGNxos1zRfc6aDqsZMmqaiy1X7GjhogErbFnMP25yV9Z6MBSDg9FB3vxpotpRkQ2SwEFqqdD6m0Yc2Sd9BqABEeWxi6czE_NIw5_lSSBv_8Cywig==,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,Отсутствует информация,0.0,0.0,0.0,0,0.0
2025-08-01,25УП-007910,gAAAAABpAh5GDiFMlTIkfPLFvh1edRkRgUkxuP5p8ey6ds5OAuYz9fRcixh9xugRIFVFTVrF8gD-gawODN4XyAp0xVORTGzRAAv1-ICYQmKmIddSGRUsHea5LbulNmdgLmuUX3lopjR9r0OjMbbkRkvOxDSMn-SOYDSV7M2mIxtiVJXz2hfP4cg2iobIJ1R7yRo8m6c7MKV2SXVF2AzFe_LpZWInrk1G7Q==,300.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,2a2d0ae57d4c6752e77d8400b593330543fb564818016313afca8d6414d3e345,1.0,0.0,0.0,0,0.0
2025-08-01,25УП-008191,gAAAAABpAh5Gs7O9l035d7zXgMaJC9A7eyvthxcIyPNM9kWmHQyEkf8EVUB6_OB_g9iTj7U-ij5ANtHCDTD8JGk2fNEZyfSWPdOoOXmIXavx4u5TYb4fVF-2Nl92flmSbRzxpoOj0rHK9LHapbYkoaNTx3k7fN7A99-JbrsXIsSHmceD4KHJPw9CHRSbLSu-wI4fu2P6SmwwCpY_wpm7kb7GgJZq08dT5w==,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,Отсутствует информация,0.0,0.0,0.0,0,0.0
2025-08-01,25УП-007877,gAAAAABpAh5Gd3UIWl6ZDL_KA3XzFJGUEVS6iej0zctSs2KmFUjCr2m0DLLkN25fVwL8f6vndI2lDQl_UyCtVboZSIWWi8e0dvj1ExZqMJWHNwJFGd99G1iveNteWEZ8p-D8U_cIpobloHL41V3b0kH4JwYsFGcD9y-03Zp0kCxXPhoChMTooS1R9BJi_q3WAx8ZkL35y_1Db6b7qv6RE_OsWHDQIcJCZvASO4kyjQeV5_ymegcYKI7yybfXmr576J4FznXh4HKk1nclGhUu8jqlYzPTebi1qs1y_xRIb2LZ5WFWhJSlz_pZbOSKbYJyZ9UWGe-Mzyudq8CMPfaPG1ZhnbsiJ_uwN7omD-3N9M7oh2yryZa3_yUEdAix1OFbtaYeQ4ubQjwnjo9TYZsxLjfxeNumBI1WeCJ0BL_Vzu-aPbBxabmfCfjTbowdUQ0OCSP-zsUKcn9LSlZGvcsIMT_kKRMQQ6z_S_vNp4r9tH3-SrABTZJvZQM=,500.0,0.0,0.0,0.0,0,27.0,6,0,0,50,0.0,0.0,0,16.6,0,0,0.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,50.0,83.0,0.0,0,4150.0
2025-08-01,25УП-008036,gAAAAABpAh5G37QAKGZiBtJ0H9lmV0ncHUPIHG68Fjun6B6bh9UmmWznq3nnBb9SpXfWdC7RRHXD1BSLFuTlB2Q0tbJ1SKggOjaay8u5AauRs7-Gln3pUTah8W4W_qxJ9jjXZ4z4tZEhyqST4d6PeE7w67vnpMjF_QPI_AHfwuaGF61D1rVJLx94n5Kxdl9bzXrZyR8sKKoMc3VnQUR2PQsTYfexiR55Jso0IdFtxwe-wYDcpOTQpgC96EddnMXaSzocgS8O2SToUx1UkyTKgYnU6xJAvo9hfRK59AzAymGYD6KDZikIgQMEvnex-9GKNFIudGUUx71l,7.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,45.0,0.0,0.0,0,0.0
2025-08-01,25УП-007872,gAAAAABpAh5GnVYQYCfeVqls3kM3g3gb7RAXzv3V3fls8h-IuQZbFRImmhPHFlw5soqj2ED7nJJ5GYj1QranunJp3GRcW084E7bPRJu4WoUdl1xfo84b46BNN2QzbpG1oLY6L2yQKHl2lxCShuULQp88kJj0j6xyhTs6ahnUxdOj8WnPcy3WuAE04SNk7P6YgQxt8zxcz13UwNostCv6UJPC_axzuM3Sou1sZOScftkz0tvOy4rfK5Hgub_s_TBlFaRh7bskBoOc-_vOJA2CchbZFq1uNRLJV0EaugvEF90Ez_lbx_GmSvE=,2304.0,0.0,0.0,0.0,0,11.0,24,0,5,81,20.0,4.0,0,6.29,0,0,0.0,Цех 1,fab766f1a371fa9589394e3b353b295b68ca3fcf09d7f5f592c6baa6f89c6dea,44.0,145.0,0.0,0,6380.0
